City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0023,-57.5575,20.46,56,0,3.6,AR,1680369129
1,waddan,29.1614,16.139,25.65,9,0,2.34,LY,1680369129
2,san patricio,28.017,-97.5169,28.98,57,97,3.25,US,1680369129
3,albany,42.6001,-73.9662,18.65,79,86,2.24,US,1680368994
4,hermanus,-34.4187,19.2345,19.33,73,0,7.14,ZA,1680369129
5,bairiki,1.3292,172.9752,27.3,76,49,5.69,KI,1680369129
6,hobyo,5.3505,48.5268,28.84,76,79,5.85,SO,1680369129
7,vaini,-21.2,-175.2,25.09,94,20,3.09,TO,1680369130
8,ribeira grande,38.5167,-28.7,19.22,88,40,4.92,PT,1680369130
9,butaritari,3.0707,172.7902,27.3,75,100,5.22,KI,1680369130
10,kawalu,-7.3817,108.2082,22.56,95,100,0.1,ID,1680369130
11,hofn,64.2539,-15.2082,5.65,76,2,4.78,IS,1680369130
12,nikolskoye,59.7035,30.7861,0.94,95,100,2.91,RU,1680369130
13,burhar,23.2167,81.5333,23.17,38,18,1.66,IN,1680369130
14,tiksi,71.6872,128.8694,-18.66,83,48,9.6,RU,1680369130
15,sioux lookout,50.1001,-91.917,-2.73,61,25,1.36,CA,1680369131
16,ushuaia,-54.8,-68.3,7.81,66,0,2.57,AR,1680368874
17,bengkulu,-3.8004,102.2655,23.84,90,100,1.85,ID,1680369131
18,upernavik,72.7868,-56.1549,-27.21,95,53,5.64,GL,1680369131
19,punta arenas,-53.15,-70.9167,10.06,57,75,11.83,CL,1680369131
20,rikitea,-23.1203,-134.9692,26.3,81,37,6.77,PF,1680369131
21,honiara,-9.4333,159.95,25.16,88,99,1.25,SB,1680369131
22,chuy,-33.6971,-53.4616,21.61,47,23,6.1,UY,1680369131
23,ilulissat,69.2167,-51.1,-11.99,67,20,2.57,GL,1680369132
24,kuito,-12.3833,16.9333,16.77,92,84,1.44,AO,1680369132
25,kodiak,57.79,-152.4072,0.73,55,0,10.8,US,1680369132
26,hithadhoo,-0.6,73.0833,28.22,68,81,1.93,MV,1680369132
27,sarankhola,22.3082,89.7897,22.15,89,43,1.19,BD,1680369132
28,trat,12.5,102.5,25.05,92,82,1.09,TH,1680369132
29,grabouw,-34.1515,19.0151,18.18,58,0,3.51,ZA,1680369132
30,nyimba,-14.5566,30.8149,19.8,95,100,0.64,ZM,1680369133
31,shenjiamen,29.9576,122.298,11.69,75,0,1.65,CN,1680369133
32,orizona,-17.0314,-48.2958,27.85,53,85,2.21,BR,1680369133
33,ponta do sol,32.6667,-17.1,24.84,78,6,4.72,PT,1680369133
34,bluff,-46.6,168.3333,13.22,85,55,8.83,NZ,1680369133
35,thompson,55.7435,-97.8558,-12.06,85,81,2.88,CA,1680369134
36,krasne,49.9145,24.6134,9.44,80,86,2.89,UA,1680369134
37,altea,38.5989,-0.0514,25.26,55,16,6.03,ES,1680369134
38,genhe,50.7833,121.5167,-0.35,97,100,1.21,CN,1680369134
39,flinders,-34.5833,150.8552,16.21,88,83,2.24,AU,1680369134
